CODGEO;SNHM18;SNHMC18;SNHMP18;SNHME18;SNHMO18;SNHMF18;SNHMFC18;SNHMFP18;SNHMFE18;SNHMFO18;SNHMH18;SNHMHC18;SNHMHP18;SNHMHE18;SNHMHO18;SNHM1818;SNHM2618;SNHM5018;SNHMF1818;SNHMF2618;SNHMF5018;SNHMH1818;SNHMH2618;SNHMH5018
35;14.2004406161714;24.3986284234673;14.4101694991689;10.7300759424004;11.0342657881318;12.7131340364775;21.1127809945769;13.5694525163222;10.5574775942214;10.1113707772648;15.2422993106895;25.9185793922695;15.0930037230853;11.1578964619387;11.2610333344884;9.73089367224851;14.150908208853;16.6747073280268;9.46559401802538;12.8827268639213;13.9477435310434;9.92603275011303;15.0275452362082;18.6110372008257
36;12.5310501260373;22.242526016446;14.413730515423;10.3962258703335;10.9447005511146;11.6007717127757;19.4926234821837;13.3704852818244;10.2755877469897;10.4215665161467;13.2063670522923;23.5834282480895;15.2230080661155;10.7544776287918;11.0946745109035;9.6458004909582;12.3254630308935;13.9713465534086;9.41728918933701;11.4651231913001;12.5917467006231;9.80779408607589;12.9310305692559;15.0479438276947
37;14.2799369319405;24.9732491666553;14.7676377715078;10.7077874953487;11.1920858626373;12.7186877056783;21.2866743887066;13.7767385677686;10.5095037748237;10.25093696759;15.4124722735522;26.734036495469;15.567814812649;11.2185523926534;11.4024999651587;9.87671769968108;14.1622006720328;16.4358801841083;9.55994467455309;12.8480496099224;13.7198810872491;10.1141019156679;15.099346933363;18.4672607538367
38;15.6661468423744;25.6260023222859;15.5493451182203;11.0672072512391;12.0860274795245;13.6455331754097;22.2065045966003;14.2689946058612;10.8697008095653;10.5593134914236;16.9695866094733;27.1399558969896;16.4826950429172;11.546999147513;12.4223180010734;10.2827016094951;15.4108399610843;18.6290052658045;9.69074752204707;13.762211948974;15.1161248311191;10.6942385285714;16.4619364153894;20.8905913919534
39;13.1155895055042;23.2822932945056;14.737884565035;10.6146816783823;11.3767779903768;11.6269693839632;19.9416018969196;13.1350580836219;10.3500394675137;10.0565366491388;14.1347259305649;24.7730453973555;15.9282226453105;11.4278415632035;11.7427608037917;9.69078881977876;13.0456367709403;14.685813180428;9.29207583339697;11.7276937069753;12.3816530974598;9.97193569995979;13.9332948557445;16.3005948364622
40;13.1463585573209;24.0112885817428;14.5317070604004;11.0742805342072;11.0133995991734;12.1532999034733;20.3302458691861;13.4374494501949;11.0731248082999;9.67147090901581;13.8485096938496;25.8331266292963;15.4162558615063;11.0773444142539;11.2937732029052;9.47228870372197;12.7973926500571;15.4279009465786;9.29431577703439;11.7722209192297;14.1898727163;9.59788507409423;13.5214607988711;16.3062415196862
41;13.5397956010367;24.747621601131;14.9056431416331;10.6253856133955;11.2561745207834;12.2223185716633;21.5393495615167;13.7294209587015;10.4745674773114;10.3286417653135;14.476709679853;26.2491088168835;15.8408443373118;11.0484513155544;11.5081465926978;9.90559350724373;13.3031135542804;15.442433580566;9.60810604807785;12.1414596149406;13.3592658009309;10.1184430549872;14.1132660568054;16.9877036581217
42;13.5932428562167;23.560982094794;14.8922261689657;10.6514223753345;11.3905806936427;12.0603914704302;20.4018943159792;13.4052501053439;10.4321559400415;9.89899825674948;14.5769014653466;24.8657371244652;16.0347711330647;11.2457083086844;11.6858046668843;9.86927549628568;13.584907122727;15.3044602819709;9.44487081859977;12.1709798804961;12.9294765658824;10.1378486870479;14.4687817998862;16.9402413228542
43;12.5721739314826;22.0623087710753;14.1033754235265;10.3840630977491;11.0648150204257;11.4020424905667;19.7493357582407;12.9517342937249;10.1746462616249;9.7327563450345;13.3776451938417;23.0643380365048;15.0330617945082;11.0240700241323;11.3644886058478;9.59860898159027;12.5902022580653;13.8144884969996;9.24500601423913;11.4633133889021;12.1261409493327;9.82728401941891;13.3521402554378;15.0596068104083
44;14.7426795875532;24.1905991464982;14.7182163467954;10.8267419793654;11.4694540819504;12.936943119757;20.8752059069962;13.5668427673601;10.6138810688046;10.1532082958906;16.0018888226434;25.7092550955046;15.6279902327981;11.3776427424677;11.7585089177607;9.9337482902159;14.6873230458426;17.4766383607186;9.5075236013625;13.1494179235669;14.1845612766193;10.2573575891835;15.7363210693732;19.826040287397
45;14.3161786601049;24.8205263612933;15.2737760716011;10.8963866752088;11.4102973636326;12.9609311008049;21.7027854907867;14.2151146306274;10.7295183082678;10.5395091052837;15.2777699175483;26.3966302975594;16.1218161994101;11.3187122041153;11.6681689979782;10.0472196306959;14.055705287907;16.6968945171275;9.7507039658389;12.9041400616796;14.4085486247114;10.2690819001252;14.8544960499975;18.3790337586975
